accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GN92	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	ftsW KPHS_08090	unreviewed	424	cell division site [GO:0032153]; plasma membrane [GO:0005886]; lipid-linked peptidoglycan transporter activity [GO:0015648]; peptidoglycan glycosyltransferase activity [GO:0008955]; cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00913}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00913}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Note=Localizes to the division septum. {ECO:0000256|HAMAP-Rule:MF_00913}.	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.4.99.28
A0A0H3GVS9	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	hisI hisIE KPHS_35430	unreviewed	199	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; L-histidine biosynthetic process [GO:0000105]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01019}.	Amino-acid biosynthesis;ATP-binding;Cytoplasm;Histidine biosynthesis;Hydrolase;Multifunctional enzyme;Nucleotide-binding;Reference proteome	3.5.4.19; 3.6.1.31
A0A0H3GSI9	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	KPHS_35550	unreviewed	184	cytosol [GO:0005829]; dTDP-4-dehydrorhamnose 3,5-epimerase activity [GO:0008830]; dTDP-rhamnose biosynthetic process [GO:0019305]; polysaccharide biosynthetic process [GO:0000271]		Isomerase;Reference proteome	5.1.3.13
A0A0H3GY10	Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4) (Penicillin-binding protein 2) (PBP-2)	mrdA KPHS_27710	unreviewed	621	plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_02081}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_02081}. Cell membrane {ECO:0000256|ARBA:ARBA00004236}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Reference proteome;Transmembrane;Transmembrane helix	3.4.16.4
A0A0H3GHH5	Diacylglycerol kinase (EC 2.7.1.107)	KPHS_02650	unreviewed	122	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP-dependent diacylglycerol kinase activity [GO:0004143]; metal ion binding [GO:0046872]; phosphatidic acid biosynthetic process [GO:0006654]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU363065}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU363065}.	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Lipid biosynthesis;Lipid metabolism;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.7.1.107
A0A0H3GL20	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	lpxK KPHS_18220	unreviewed	326	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; lipid-A 4'-kinase activity [GO:0009029]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide core region biosynthetic process [GO:0009244]		ATP-binding;Kinase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Membrane;Nucleotide-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix	2.7.1.130
A0A0H3GSB7	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH KPHS_41920	unreviewed	244	cytoplasm [GO:0005737]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00063}.	Cytoplasm;Oxidoreductase;Reference proteome	1.8.4.8
A0A0H3GQ62	Holliday junction branch migration complex subunit RuvA	ruvA KPHS_33970	unreviewed	203	cytoplasm [GO:0005737]; Holliday junction helicase complex [GO:0009379]; Holliday junction resolvase complex [GO:0048476]; ATP binding [GO:0005524]; four-way junction DNA binding [GO:0000400]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00031}.	ATP-binding;Cytoplasm;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome	
A0A0H3GJM8	peptidase Do (EC 3.4.21.107)	KPHS_09100	unreviewed	439	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		Hydrolase;Protease;Reference proteome;Repeat;Serine protease;Signal	3.4.21.107
A0A0H3GMB2	HTH-type transcriptional repressor NsrR	nsrR KPHS_04240	unreviewed	141	cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; iron ion binding [GO:0005506]; negative regulation of DNA-templated transcription [GO:0045892]		2Fe-2S;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GQL5	Macrolide transporter subunit MacA	KPHS_17890	unreviewed	371	cell envelope [GO:0030313]; efflux pump complex [GO:1990281]; extrinsic component of membrane [GO:0019898]; macrolide transmembrane transporter complex [GO:1990195]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004236}.	Cell inner membrane;Cell membrane;Coiled coil;Membrane;Reference proteome;Transport	
A0A0H3GQT0	Macrodomain Ter protein	matP KPHS_18640	unreviewed	150	cytoplasm [GO:0005737]; sequence-specific DNA binding [GO:0043565]; cell division [GO:0051301]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01073}.	Cell cycle;Cell division;Cytoplasm;DNA-binding;Reference proteome	
A0A0H3GTE4	Transcriptional regulatory protein QseB	KPHS_45670	unreviewed	219	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GUM0	TonB-dependent siderophore receptor	KPHS_33140	unreviewed	706	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; siderophore transport [GO:0015891]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}.	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GWT9	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD KPHS_41890	unreviewed	302	ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]		ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	2.7.7.4
A0A0H3GYT9	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase (EC 3.1.7.2)	KPHS_51640	unreviewed	706	plasma membrane [GO:0005886]; GTP diphosphokinase activity [GO:0008728]; guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]; guanosine tetraphosphate biosynthetic process [GO:0015970]; nucleobase-containing small molecule interconversion [GO:0015949]; response to starvation [GO:0042594]		Hydrolase;Manganese;Reference proteome	3.1.7.2
A0A0H3GTG0	Amino acid ABC transporter, permease protein	KPHS_28690	unreviewed	308	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GWY0	tRNA threonylcarbamoyladenosine dehydratase (t(6)A37 dehydratase)	KPHS_42440	unreviewed	273	membrane [GO:0016020]; ATP binding [GO:0005524]; tRNA threonylcarbamoyladenosine dehydratase [GO:0061503]; ubiquitin-like modifier activating enzyme activity [GO:0008641]; cyclic threonylcarbamoyladenosine biosynthetic process [GO:0061504]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	ATP-binding;Ligase;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GZG0	Transcription elongation factor GreB (Transcript cleavage factor GreB)	greB KPHS_49280	unreviewed	157	DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]; translation elongation factor activity [GO:0003746]; DNA-templated transcription elongation [GO:0006354]; regulation of DNA-templated transcription elongation [GO:0032784]		DNA-binding;Elongation factor;Protein biosynthesis;Reference proteome;Transcription;Transcription regulation	
A0A0H3H172	Nucleoside permease	KPHS_38160	unreviewed	400	plasma membrane [GO:0005886]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside:proton symporter activity [GO:0015506]; uridine transmembrane transporter activity [GO:0015213]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3H1M7	Purine nucleoside phosphorylase	KPHS_39860	unreviewed	233	copper ion binding [GO:0005507]; hydrolase activity [GO:0016787]; oxidoreductase activity [GO:0016491]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]		Copper;Hydrolase;Metal-binding;Oxidoreductase;Reference proteome;Transferase;Zinc	
A0A0H3GI53	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD KPHS_07920	unreviewed	201	3-isopropylmalate dehydratase complex [GO:0009316]; 3-isopropylmalate dehydratase activity [GO:0003861]; isomerase activity [GO:0016853]; L-leucine biosynthetic process [GO:0009098]		Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Isomerase;Leucine biosynthesis;Lyase;Reference proteome	4.2.1.33
A0A0H3GU31	KDP operon transcriptional regulatory protein KdpE	KPHS_15460	unreviewed	225	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; positive regulation of DNA-templated transcription [GO:0045893]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GWA5	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	aaeB KPHS_47800	unreviewed	635	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; carboxylic acid transport [GO:0046942]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01545}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01545}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GWN7	Cellobiose/arbutin/salicin-specific PTS system components IIBC	KPHS_41240	unreviewed	480	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-trehalose phosphotransferase system transporter activity [GO:0090589]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; trehalose transport [GO:0015771]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	
A0A0H3GGS8	Ribose import binding protein RbsB	KPHS_00100	unreviewed	296	periplasmic space [GO:0042597]; carbohydrate binding [GO:0030246]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418}.	Periplasm;Reference proteome;Signal;Sugar transport;Transport	
A0A0H3GSR8	D-alanyl-D-alanine endopeptidase	KPHS_36350	unreviewed	316	serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]		Cell shape;Cell wall biogenesis/degradation;Hydrolase;Peptidoglycan synthesis;Reference proteome;Signal	
A0A0H3GU87	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	KPHS_49270	unreviewed	239	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; positive regulation of DNA-templated transcription [GO:0045893]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Activator;Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Repressor;Stress response;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GV15	Chromosome partition protein MukE	mukE KPHS_18310	unreviewed	234	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000256|HAMAP-Rule:MF_01802}. Note=Restricted to the nucleoid region. {ECO:0000256|HAMAP-Rule:MF_01802}.	Cell cycle;Cell division;Chromosome partition;Cytoplasm;DNA condensation;Reference proteome	
A0A0H3GXJ6	Probable Fe(2+)-trafficking protein	KPHS_44640	unreviewed	91	cytosol [GO:0005829]; iron ion binding [GO:0005506]; cellular response to oxidative stress [GO:0034599]		Iron;Reference proteome	
A0A0H3GI20	Probable oxaloacetate decarboxylase gamma chain (EC 7.2.4.2)	oadG KPHS_07420	unreviewed	83	plasma membrane [GO:0005886]; decarboxylation-driven active transmembrane transporter activity [GO:0015451]; oxaloacetate decarboxylase activity [GO:0008948]; sodium ion transmembrane transporter activity [GO:0015081]; sodium ion export across plasma membrane [GO:0036376]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004162, ECO:0000256|HAMAP-Rule:MF_00404, ECO:0000256|RuleBase:RU004278}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004162, ECO:0000256|HAMAP-Rule:MF_00404, ECO:0000256|RuleBase:RU004278}.	Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Translocase;Transmembrane;Transmembrane helix;Transport	7.2.4.2
A0A0H3GLQ7	Aspartate carbamoyltransferase regulatory chain	pyrI KPHS_05030	unreviewed	153	aspartate carbamoyltransferase complex [GO:0009347]; metal ion binding [GO:0046872]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; pyrimidine nucleotide biosynthetic process [GO:0006221]		Metal-binding;Pyrimidine biosynthesis;Reference proteome;Zinc	
A0A0H3GPZ5	Transcription termination/antitermination protein NusG	nusG KPHS_01960	unreviewed	181	cytosol [GO:0005829]; DNA-templated transcription elongation [GO:0006354]; DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription elongation [GO:0032784]; transcription antitermination [GO:0031564]		Reference proteome;Transcription;Transcription antitermination;Transcription regulation;Transcription termination	
A0A0H3GRL7	TonB dependent outer membrane siderophore receptor protein	KPHS_21440	unreviewed	748	cell outer membrane [GO:0009279]; colicin transmembrane transporter activity [GO:0042912]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; siderophore transmembrane transport [GO:0044718]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|PROSITE-ProRule:PRU01360}.	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GS97	Phenolic acid decarboxylase (PAD) (EC 4.1.1.-)	KPHS_41720	unreviewed	475	cytosol [GO:0005829]; 4-hydroxy-3-polyprenylbenzoate decarboxylase activity [GO:0008694]; metal ion binding [GO:0046872]; response to toxic substance [GO:0009636]; ubiquinone biosynthetic process [GO:0006744]		Aromatic hydrocarbons catabolism;Decarboxylase;Detoxification;Flavoprotein;FMN;Lyase;Manganese;Metal-binding;Reference proteome	4.1.1.-
A0A0H3GSZ5	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	KPHS_24580	unreviewed	316	metal ion binding [GO:0046872]; transferase activity [GO:0016740]		FAD;Flavoprotein;Lipoprotein;Magnesium;Metal-binding;Reference proteome;Transferase	2.7.1.180
A0A0H3GVL1	Very short patch repair endonuclease (EC 3.1.-.-)	KPHS_34480	unreviewed	164	endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]; mismatch repair [GO:0006298]		DNA damage;DNA repair;Endonuclease;Hydrolase;Nuclease;Reference proteome	3.1.-.-
A0A0H3GVX8	Sulfate transport system permease protein CysW	KPHS_38390	unreviewed	291	plasma membrane [GO:0005886]; ABC-type sulfate transporter activity [GO:0015419]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sulfate transport;Transmembrane;Transmembrane helix;Transport	
A0A0H3GWR7	Bifunctional maltose and glucose-specific PTS system components IICB	KPHS_24160	unreviewed	530	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-glucose phosphotransferase system transporter activity [GO:0090564]; D-glucose transmembrane transport [GO:1904659]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	
A0A0H3GXT4	Small ribosomal subunit protein bS21	rpsU KPHS_46040	unreviewed	71	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		Reference proteome;Ribonucleoprotein;Ribosomal protein	
A0A0H3GKH5	DNA-binding transcriptional repressor DeoR	KPHS_17070	unreviewed	252	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GKM8	Uncharacterized ABC transporter ATP-binding protein YbbA	KPHS_12200	unreviewed	228	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GLV4	Glutamine ABC transporter ATP-binding protein	KPHS_16700	unreviewed	240	plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.	Amino-acid transport;ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GPZ4	UPF0260 protein KPHS_33270	KPHS_33270	unreviewed	148			Reference proteome	
A0A0H3GQB0	Peptide ABC transporter membrane protein	KPHS_28250	unreviewed	314	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GS53	LuxR/UhpA-family transcriptional activator for cell division	KPHS_34350	unreviewed	240	DNA binding [GO:0003677]; cell division [GO:0051301]; positive regulation of DNA-templated transcription [GO:0045893]		Activator;Cell cycle;Cell division;DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GV72	High-affinity branched-chain amino acid transport	KPHS_32930	unreviewed	306	plasma membrane [GO:0005886]; branched-chain amino acid transmembrane transporter activity [GO:0015658]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GX96	DUF1889 family protein	KPHS_43690	unreviewed	99			Reference proteome	
A0A0H3GIW5	Amino acid ABC transporter membrane protein	KPHS_10320	unreviewed	229	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GNP2	LysR family transcriptional regulator	KPHS_09490	unreviewed	301	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GQE2	Molybdenum transport ATP-binding protein	KPHS_16030	unreviewed	352	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; molybdate ion transmembrane transporter activity [GO:0015098]		ATP-binding;Cell inner membrane;Cell membrane;Membrane;Molybdenum;Nucleotide-binding;Reference proteome;Translocase;Transport	
A0A0H3GV09	Nitrate transport protein nasD	KPHS_32180	unreviewed	262	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; nitrate transmembrane transporter activity [GO:0015112]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202}.	ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GXX4	DNA-binding transcriptional regulator LysR	KPHS_43180	unreviewed	308	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; lysine biosynthetic process via diaminopimelate [GO:0009089]; positive regulation of gene expression [GO:0010628]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3H303	TIGR03758 family integrating conjugative element protein	KPHS_45060	unreviewed	78			Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3H3J2	D-alanyl-D-alanine carboxypeptidase/endopeptidase	KPHS_47310	unreviewed	468	serine-type carboxypeptidase activity [GO:0004185]; peptidoglycan metabolic process [GO:0000270]; proteolysis [GO:0006508]		Carboxypeptidase;Hydrolase;Protease;Reference proteome	
A0A0H3H440	DNA-binding transcriptional repressor GlpR	KPHS_49410	unreviewed	252	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3H4F7	DUF3302 domain-containing protein	KPHS_51010	unreviewed	122			Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GJF2	Integrase catalytic subunit	KPHS_08500 KPHS_p301020	unreviewed	292	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]		Plasmid;Reference proteome	
A0A0H3GLU1	PTS enzyme IIAB, mannose-specific	KPHS_02390	unreviewed	164	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;Kinase;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	
A0A0H3GM24	Ribose ABC superfamily ATP binding cassette transporter, binding protein	KPHS_03290	unreviewed	313	cell envelope [GO:0030313]; carbohydrate binding [GO:0030246]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell envelope {ECO:0000256|ARBA:ARBA00004196}.	Reference proteome;Signal	
A0A0H3GMZ6	Carboxylyase-related protein	KPHS_20400	unreviewed	502	cytoplasm [GO:0005737]; carboxy-lyase activity [GO:0016831]		Decarboxylase;Lyase;Reference proteome	
